,Table name,Variable name,Label,Description,Data type,Length,Clinical relevance for PrEP
176,AMBLEIST,TSVGBSNRKV,Regionalkennzeichen der (Neben-)Betriebsstätte des Facharztes bei TSVG-Hausarztvermittlung,KV-Landes- oder Bezirksstellenschlüssel; regionale Zuordnung in Form des Landes- oder Bezirksstellenschlüssels der Kassenärztlichen Vereinigung,numerisch,2,
177,AMBLEIST,ZWEITMEIN,Zweitmeinungskennung,,numerisch,2,
178,AMBLEIST,GONRBEWERT,Bewertung der Gebührenordnungsnummer,Nur für selektivvertragliche Leistungen; in Euro und zum Abzugszeitpunkt bestmöglich ermittelt.,alphanum.,2,
179,AMBLEIST,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
180,AMBOPS,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
181,AMBOPS,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
182,AMBOPS,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
183,AMBOPS,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Technische Fall-ID zur Verknüpfung mit Satzart AMBFALL,numerisch,1..11,
184,AMBOPS,OPS,OPS-Kode,"OPS-Kode wie in der Abrechnung enthalten, inkl. aller Sonderzeichen",alphanum.,..12,
185,AMBOPS,OPSLOKAL,Lokalisation,,alphanum.,1,
186,AMBOPS,OPSDAT,Eingriffsdatum,Falls vorhanden; Format JJJJMMDD,numerisch,8,
187,AMBOPS,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
188,ZAHNFALL,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
189,ZAHNFALL,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
190,ZAHNFALL,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
191,ZAHNFALL,LEISTQ,Leistungsquartal,"Falls BEHANDARTZAHN = KC (Konservierend chirurgische Leistungen) oder = KF (Kieferorthopädische Leistungen), Format JJJJQ",numerisch,5,
192,ZAHNFALL,FALLIDZAHN,Fall-ID des ambulanten Zahnarztfalls,Technische Fall-ID zur Verknüpfung mit Satzarten ZAHNLEISTund ZAHNBEF,numerisch,1..11,
193,ZAHNFALL,ZANRPSEUDO,Pseudonym (überjährig) der Zahnarztnummer,Pseudonym der lebenslangen zentrale Zahnarztnummer. (Platzhalter: Für Abrechnungen ab Abrechnungsquartal 2/2022 und Abrechnungsmonat April 2022.),numerisch,12,
194,ZAHNFALL,ZANRABRPSEUDO,Pseudonym des Zahnarztes in der abrechnenden Zahnartpraxis,"Pseudonym der ""Zahnarztnummer"" für Abrechnungen bis 30.06.2021, Pseudonym der ""Abrechnungsnummer"" für Abrechnungen ab 01.07.2021",numerisch,12,
195,ZAHNFALL,ZAKZV,KZV-Bereich des Zahnarztes,"KZV-Bereich des Zahnarztes. 
 Entspricht für Abrechnungen ab Abrechnungsquartal 03/2021 und Abrechnungsmonat Juli 2021 der zweiten und dritten Stelle der Abrechnungsnummer.",numerisch,2,
196,ZAHNFALL,BEHANDARTZAHN,Behandlungsart,,alphanum.,2,
197,ZAHNFALL,BEGINNDATZAHN,Datum Beginn der Behandlung,"Format JJJJMMTT. Nicht für KF-Fälle (Kieferorthopädie) zu übermitteln. Für PA- (Paradonthose), KB- (Kieferbruch) und ZE-Fälle (Zahnersatz-Leistungen) nicht quartalsbezogen, sondern Beginndatum des gesamten Behandlungsfalls. Falls  BEHANDARTZAHN = PA oder = ZE: Datum der Planausstellung.",numerisch,8,
198,ZAHNFALL,ENDEDATZAHN,Datum Ende der Behandlung,"Format JJJJMMTT. 
  
  Nicht für KF-Fälle (Kieferorthopädie) zu übermitteln. Für PA- (Paradonthose), KB- (Kieferbruch) und ZE-Fälle (Zahnersatz) nicht quartalsbezogen, sondern Enddatum des gesamten Behandlungsfalls. Falls BEHANDARTZAHN = PA oder = ZE: Datum des Behandlungsendes oder Eingliederungsdatums.",numerisch,8,
199,ZAHNFALL,FALLKOZAHN,Geldbetrag,"Summe der abgerechneten Vergütung aus dem Honorar inkl. in Euro bewerteten Leistungen inkl. zwei Nachkommastellen. 
  
  Für KF-Fälle (Kieferorthopädie) sind etwaige Laborkosten enthalten, sonst ohne etwaige Laborkosten. Für KF-Fälle ist außerdem der Gesamtbetrag Begleitleistungen enthalten.",numerisch,"1..12(,2)",
200,ZAHNFALL,EIGENLABOR,Geldbetrag Eigenlabor,"Falls BEHANDARTZAHN = KB (Kieferbruch) oder KF (Kieferorthopädie), Gesamtkosten Eigenlabor in Euro",numerisch,"..12(,2)",
201,ZAHNFALL,FREMDLABOR,Geldbetrag Fremdlabor,"Falls BEHANDARTZAHN = KB (Kieferbruch) oder KF (Kieferorthopädie), Gesamtkosten Eigenlabor in Euro",numerisch,"..12(,2)",
202,ZAHNFALL,INANSPRARTZAHN,Art der Inanspruchnahme,Fall BEHANDARTZAHN = KF (Kieferorthopädie),alphanum.,1,
203,ZAHNFALL,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
204,ZAHNLEIST,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
205,ZAHNLEIST,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
206,ZAHNLEIST,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
207,ZAHNLEIST,FALLIDZAHN,Fall-ID des ambulanten Zahnarztfalls,Technische Fall-ID zur Verknüpfung mit Satzart ZAHNFALL,numerisch,1..11,
208,ZAHNLEIST,LEISTDAT,Datum der Leistung,"Format JJJJMMTT
  
  Für PA- (Paradonthose) und ZE-Fälle (Zahnersatz) Datum der Planausstellung,
  für KF-Fälle (Kieferorthopädie) nur bei Begleitleistungen",numerisch,8,
209,ZAHNLEIST,ZAHN,Zahnangabe Beschreibung codiert,"Gemäß Technische Anlage Schlüsselverzeichnis Anhang 2, Abschnitt 4. Nicht für PA-Fälle (Paradonthose).",alphanum.,..5,
210,ZAHNLEIST,GEBNR,Gebührennummer,"Gemäß Technische Anlage Schlüsselverzeichnis Anhang 2, Abschnitt 1",alphanum.,1..25,
211,ZAHNLEIST,GEBPOS,Positionsangabe Beschreibung codiert,"Gemäß Technische Anlage. Wert laut Bemerkungsfeld im Schlüsselverzeichnis Anhang 2, Abschnitt 1. Nicht für PA- (Paradonthose) und ZE-Fälle (Zahnersatz).",alphanum.,..5,
212,ZAHNLEIST,GEBNRZAHL,Anzahl der Gebührennummern,Anzahl der abgerechneten Gebührennummern; falls nicht vorhanden = 1.,numerisch,1..4,
213,ZAHNLEIST,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
214,ZAHNBEF,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
215,ZAHNBEF,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
216,ZAHNBEF,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
217,ZAHNBEF,FALLIDZAHN,Fall-ID des ambulanten Zahnarztfalls,Technische Fall-ID zur Verknüpfung mit Satzart ZAHNFALL,numerisch,1..11,
218,ZAHNBEF,BEFNR,Befundnummer,,alphanum.,1..5,
219,ZAHNBEF,ZAHN,Zahnangabe Beschreibung codiert,"Zahn-/ Gebietsbezeichnung, siehe Anhang 2, Abschnitt 4
  Bei zahnbezogenen Befunden erfolgt die Angabe mit einem Komma getrennt.
  Bei Befundnummern, die je Gesamtbefund abgerechnet werden, wird als Gebietsbezeichnung der Oberkiefer und Unterkiefer eingetragen",alphanum.,1..95,
220,ZAHNBEF,REFART,Art der Referenz,,alphanum.,1,
221,ZAHNBEF,BEFNRZAHL,Anzahl der abgerechneten Befundnummer,"Anzahl der abgerechneten Befundnummern in Hundertstel (z. B.: ""200"" für die zweimalige Abrechnung einer Leistung oder ""75"" für die Abrechnung einer dreiviertel Teilleistung)",numerisch,1..4,
222,ZAHNBEF,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
223,REZ,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
224,REZ,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
225,REZ,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
226,REZ,REZNR,Rezeptnummer,Lieferungsspezifische eindeutige technische ID für die Zuordnung der zu einem Rezept gehörigen Informationen; durch die Kasse zu generieren.,numerisch,1..9,
227,REZ,PZNREZ,Pharmazentralnummer,Pharmazentralnummer; Sonderkennzeichen gemäß Technischer Anlage 1,alphanum.,8 oder 10,
228,REZ,VODAT,Verordnungsdatum,JJJJMMTT; sofern auf dem Verordnungsblatt nicht angegeben gilt ”JJJJMM00”,numerisch,8,
229,REZ,BSNRVOPSEUDO,Pseudonym der verordnenden Betriebsstätte,Pseudonym der verordnenden Betriebsstätte,numerisch,12,
230,REZ,BSNRVOVB,,,numerisch,2,
231,REZ,BSNRVOREGKNZ,Regionalkennzeichen der verordnenden Betriebsstätte,Regionalkennzeichen der verordnenden Betriebsstätte,numerisch,2,
232,REZ,LENRVOPSEUDO,Pseudonym des verordnenden Leistungserbringers,Pseudonym aus dem unveränderlichen Teil der lebenslangen Arztnummer oder Zahnarztnummer oder Pseudo-Arztnummer gemäß Steuertabelle (siehe lenrvopseudoarztnr),numerisch,12,
233,REZ,LENRVOFG,Fachgruppe des verordnenden Leistungserbringers,Fachgruppenschlüssel; Facharztbezeichnung,numerisch,2,
234,REZ,ABGABEDAT,Datum der Abgabe,"JJJJMMTT ; ist es auf Verordnungsblatt nicht angegeben, nicht maschinell verarbeitbar oder ergibt keinen plausiblen Wert, ist Abrechnungsmonat im Format ”JJJJMM00” anzugeben.",numerisch,8,
235,REZ,VERTRAGSKZ,Vertragskennzeichen,"Vertragskennzeichen für einzelvertragliche  Vereinbarungen zwischen Krankenkassen und  Leistungserbringern
  1 = Verordnungen im Rahmen der Versorgung  nach § 116b Abs. 1 SGB V
  4 = Verordnungen im Rahmen des Entlassmanagements nach  § 39 Abs. 1a SGB V
  7 = Verordnungen im Rahmen von Terminservicestellen nach § 75 Abs. 1a SGB V",alphanum.,…25,
236,REZ,APOPSEUDO,Pseudonym der Apotheke,Pseudonym der abgebenden Apotheke,numerisch,12,
237,REZ,APOKLASS,Klassifikation der Apotheke,Stellen 1 bis 2 des Apotheken-IK,numerisch,2,
238,REZ,APOREGKNZ,Regionalkennzeichen der Apotheke,Regionalkennzeichen nach Bundesländern,numerisch,2,
239,REZ,APOSITZ,Sitz des Leistungserbringer in In- oder Ausland,,alphanum.,1,
240,REZ,MENGE,Anzahl Einheiten oder Faktorkennzeichen,Mengenfaktor laut Verordnung.,numerisch,1..6,
241,REZ,NOCTU,Noctu,,alphanum.,1,
242,REZ,AUTIDEM,Aut Idem,,alphanum.,1,
243,REZ,WIRKSTOFFVO,Wirkstoffverordnung,,alphanum.,1,
244,REZ,AMBETRAG,Betrag,Einzelpreis SV-Brutto (inkl. Umsatzsteuer) des verordneten Mittels lt. Verordnung,numerisch,"1..9(, 2)",
245,REZ,ABSCHLAEGE,Gesetzliche Apotheken- und Großhandelsabschläge,"Betrag zum Zu-/Abschlag; bei Darstellung negativer Beträge wird ein Minuszeichen vorangestellt); Feldinhalt bezieht sich auf den angegebenen Betrag aus EFP-04
  Skonto (ABRP): Betrag des Skontos ist im Feld NPB-03 (mit NPB-02 = ""R003"") anzugeben",numerisch,"1..9(, 2)",
246,REZ,ZUZAHLKZ,Zuzahlungskennzeichen,,alphanum.,1,
247,REZ,ZUZAHLGES,Gesamtbetrag Zuzahlungen,Gesamtbetrag Zuzahlung (inkl. USt.) je Status; Inhalt = 0 (Null muss angegeben werden),numerisch,"1..9(, 2)",
248,REZ,EIGENBET,Gesamtbetrag Eigenbeteiligungen,Eigenbeteiligung der Versicherten bei Verordnungen im Rahmen der künstlichen Befruchtung,numerisch,"1..9(, 2)",
249,REZ,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
250,EZD,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
251,EZD,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
252,EZD,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
253,EZD,REZNR,Rezeptnummer,Lieferungsspezifische eindeutige technische ID für die Zuordnung der zu einem Rezept gehörigen Informationen; durch die Kasse zu generieren.,numerisch,1..9,
254,EZD,PZNEZD,Pharmazentralnummer,PZN der verwendeten Packung,alphanum.,8,
255,EZD,FAKTOR,Faktor,Angabe über den Faktor.,numerisch,"1..6(,6)",
256,EZD,FAKTORKENNZEICHEN,Faktorkennzeichen,"Angabe über das Faktorkennzeichen. 
 
 Kennzeichen für verarbeitete Packungen oder Teilmengen von Packungen, Stoffen, Gefäßen oder für Zuschläge (s. weiterführende Links).
 
 In diesem Feld befindet sich die Angabe in welcher Einheit die Verordnung  herausgegeben wurde.",alphanum.,2,
257,EZD,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
258,KHFALL,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
259,KHFALL,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
260,KHFALL,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
261,KHFALL,FALLIDKH,Fall-ID des Krankenhausfalls,"Technische Fall-ID zur Verknüpfung mit Satzarten KHFA, KHND, KHPROZ und KHENTG",numerisch,1..11,
262,KHFALL,KHPSEUDO,Pseudonym des Krankenhauses,Pseudonym des Krankenhauses,numerisch,12,
263,KHFALL,KHKLASS,Klassifikation des Krankenhauses,26 - Klassifikation als Krankenhaus,numerisch,2,
264,KHFALL,KHREGKZ,Regionalkennzeichen des Krankenhauses,Regionalkennzeichen nach Bundesländern; regionale Zuordnung durch Kennzeichnung des Bundeslandes. (Schlüssel 26: KV-Bezirk),numerisch,2,
265,KHFALL,AUFNDAT,Aufnahmetag,Format JJJJMMTT,alphanum.,8,
266,KHFALL,AUFNGRUND,Aufnahmegrund,"Schlüssel 1
 
 Siehe Anlage 2 https://www.gkv-datenaustausch.de/leistungserbringer/krankenhaeuser/krankenhaeuser.jsp",alphanum.,4,
267,KHFALL,ENTLASSGRUND,Entlassungsgrund,"Schlüssel 5
 
 Siehe Anlage 2 https://www.gkv-datenaustausch.de/leistungserbringer/krankenhaeuser/krankenhaeuser.jsp",alphanum.,3,
268,KHFALL,AUFNFA,Aufnehmende Fachabteilung,"Schlüssel 6
 
 Siehe Anlage 2 https://www.gkv-datenaustausch.de/leistungserbringer/krankenhaeuser/krankenhaeuser.jsp",alphanum.,4,
269,KHFALL,EINWEISPSEUDO,Pseudonym des einweisenden Arztes oder KZV-Nummer des einweisenden Zahnarztes,Pseudonym des einweisenden Arztes oder KZV-Nummer des einweisenden Zahnarztes,numerisch,12,
270,KHFALL,EINWEISFG,Fachgruppe des einweisenden Arztes oder einweisenden Zahnarztes,Fachgruppenschlüssel; Facharztbezeichnung,numerisch,2,
271,KHFALL,VERANLASSKHPSEUDO,Pseudonym des veranlassenden Krankenhauses bei Verlegung,Pseudonym des veranlassenden Krankenhauses bei Verlegung,numerisch,12,
272,KHFALL,VERANLASSKHKLASS,Klassifikation des veranlassenden Krankenhauses bei Verlegung,26 - Klassifikation als Krankenhaus,numerisch,2,
273,KHFALL,VERANLASSKHREGKNZ,Regionalkennzeichen des veranlassenden Krankenhauses bei Verlegung,Regionalkennzeichen nach Bundesländern,numerisch,2,
274,KHFALL,BEATSTD,Beatmungsstunden,Format HHHH,alphanum.,..4,
275,KHFALL,VERANLASSSTELLEPSEUDO,Pseudonym der veranlassenden Stelle bei Notaufnahme,Pseudonym der veranlassenden Stelle bei Notaufnahme,alphanum.,..30,
276,KHFALL,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
277,KHFA,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
278,KHFA,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
279,KHFA,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
280,KHFA,FALLIDKH,Fall-ID des Krankenhausfalls,Technische Fall-ID zur Verknüpfung mit Satzart KHFALL,numerisch,1..11,
281,KHFA,FA,Fachabteilung,"Schlüssel 6 oder ""0000"" oder ""0001"" oder ""0002"" oder „0003“ oder „0004“
 
 Siehe Anlage 2 https://www.gkv-datenaustausch.de/leistungserbringer/krankenhaeuser/krankenhaeuser.jsp",alphanum.,4,
282,KHFA,ENTLASSDAT,Entlassungs- oder Verlegungsdatum aus der Fachabteilung,Format JJJJMMTT,alphanum.,8,
283,KHFA,ENTLASSZEIT,Entlassungs- oder Verlegungsuhrzeit aus der Fachabteilung,Format HH(00-23)MM(00-59),alphanum.,4,
284,KHFA,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
285,KHDIAG,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
286,KHDIAG,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
287,KHDIAG,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
288,KHDIAG,FALLIDKH,Fall-ID des Krankenhausfalls,Technische Fall-ID zur Verknüpfung mit Satzart KHFALL,numerisch,1..11,
289,KHDIAG,DIAGART,Art der Diagnose des voll- oder teilstationären Falls,"A = Aufnahmediagnose
 H = Hauptdiagnose
 N = Nebendiagnose",alphanum.,1,
290,KHDIAG,ICDKH_CODE,ICD 10 GM Code ohne Punktnotation und Sonderzeichen,"ICD 10 GM Code ohne Punktnotation und Sonderzeichen. 
 Im Feld ICDKH_CODE finden sich die Diagnosen rein alphanumerisch ohne Punkt und ohne Sonderzeichen. Die ICD-Sonderzeichen zum Feld ICDKH_CODE finden sich im Feld ICDKH_ZUSATZ. Weitere Hinweise zur Diagnosecodierung sind in den Deutschen Kodierrichtlinien (DKR) aufgeführt.",alphanum.,1-9,
291,KHDIAG,ICDKH_ZUSATZ,ICD Sonderzeichen,ICD Sonderzeichen,alphanum.,1..,
292,KHDIAG,ICDLOKAL,Lokalisation der Primärdiagnose,"Lokalisation; Schlüssel 16; R = rechts, L = links, B = beidseitig",alphabetisch,1,
293,KHDIAG,SEKICD_CODE,ICD 10 GM Code Sekundärdiagnose ohne Punktnotation und Sonderzeichen,"ICD 10 GM Code ohne Punktnotation  und Sonderzeichen. 
 Im Feld SEKICD finden sich die Diagnosen rein alphanumerisch ohne Punkt und ohne Sonderzeichen. Die ICD-Sonderzeichen zum Feld SEKICD_CODE finden sich im Feld SEKICD_ZUSATZ. Weitere Hinweise zur Diagnosecodierung sind in den Deutschen Kodierrichtlinien (DKR) aufgeführt.",alphanum.,1-9,
294,KHDIAG,SEKICD_ZUSATZ,ICD Sonderzeichen Sekundärdiagnose,ICD Sonderzeichen,alphanum.,1..,
295,KHDIAG,SEKICDLOKAL,Lokalisation der Sekundärdiagnose,"Lokalisation; Schlüssel 16; R = rechts, L = links, B = beidseitig",alphabetisch,1,
296,KHDIAG,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
297,KHPROZ,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
298,KHPROZ,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
299,KHPROZ,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
300,KHPROZ,FALLIDKH,Fall-ID des Krankenhausfalls,Technische Fall-ID zur Verknüpfung mit Satzart KHFALL,numerisch,1..11,
301,KHPROZ,PROZ,Prozedurenschlüssel,"Amtlicher OP-Schlüssel (OPS-Kode der Operation gemäß DIMDI-Schlüssel); wie in der Abrechnung enthalten, inkl. aller Sonderzeichen",alphanum.,1..11,
302,KHPROZ,PROZDAT,Prozedurendatum,Format JJJJMMTT,alphanum.,8,
303,KHPROZ,PROZLOKAL,Prozedurenlokalisation,"Lokalisation; Schlüssel 16; R = rechts, L = links, B = beidseitig",alphabetisch,1,
304,KHPROZ,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
305,KHENTG,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
306,KHENTG,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
307,KHENTG,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
308,KHENTG,FALLIDKH,Fall-ID des Krankenhausfalls,Technische Fall-ID zur Verknüpfung mit Satzart KHFALL,numerisch,1..11,
309,KHENTG,ENTGART,Entgeltart,Schlüssel 4,alphanum.,8,
310,KHENTG,ENTGBETRAG,Entgeltbetrag,"Format 99999999,99 (Einzelbetrag)",numerisch,"1..8(,2)",
311,KHENTG,ABRVONDAT,Abrechnung von,Format JJJJMMTT,alphanum.,8,
312,KHENTG,ABRBISDAT,Abrechnung bis,Format JJJJMMTT,alphanum.,8,
313,KHENTG,ENTGZAHL,Anzahl der Entgelte,"In diesem Feld ist der Faktor enthalten mit dem das Feld ""entgbetrag"" multipliziert wird, um die Gesamtkosten zu erhalten.",numerisch,1..5,
314,KHENTG,TAGEOBE,Tage ohne Berechnung/Behandlung,"Bei diesen Tagen handelt es sich um die Zeit in der der Versicherte zwar im Krankenhaus liegt, allerdings keine Behandlung erhält.",numerisch,1..3,
315,KHENTG,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
